Feature,Coeficiente,Abs_Coef,Odds_Ratio
ntl_mean_q_tendencia,0.0,0.0,1.0
ntl_delta_q_tendencia,0.0,0.0,1.0
ntl_log_mean_q_r1,0.0,0.0,1.0
t_03_r1,0.0,0.0,1.0
ntl_log_mean_q_r2,0.0,0.0,1.0
ntl_log_mean_q_r3,0.0,0.0,1.0
t_03_r3,0.0,0.0,1.0
ntl_log_median_q_r3,0.0,0.0,1.0
ntl_log_mean_q_tendencia,0.0,0.0,1.0
ntl_prop_imputado_q_volatilidad,0.0,0.0,1.0
ntl_log_sum_q_r3,0.0,0.0,1.0
ntl_log_sum_q_r4,0.0,0.0,1.0
ntl_log_median_q_r1,0.0,0.0,1.0
ntl_log_median_q_r2,0.0,0.0,1.0
ntl_prop_imputado_q_tendencia,0.0,0.0,1.0
ntl_median_q_r2,0.0,0.0,1.0
t_10_r1,0.0,0.0,1.0
ntl_mean_q_r4,0.0,0.0,1.0
t_10_n_mean_r1,0.0,0.0,1.0
t_03_n_mean_r4,0.0,0.0,1.0
t_04_n_mean_r1,0.0,0.0,1.0
t_04_n_mean_r2,0.0,0.0,1.0
t_07_n_mean_r2,0.0,0.0,1.0
t_07_n_mean_r3,0.0,0.0,1.0
t_07_n_mean_r4,0.0,0.0,1.0
t_08_n_mean_r1,0.0,0.0,1.0
t_08_n_mean_r2,0.0,0.0,1.0
t_08_n_mean_r3,0.0,0.0,1.0
t_08_n_mean_r4,0.0,0.0,1.0
t_09_n_mean_r1,0.0,0.0,1.0
t_09_n_mean_r3,0.0,0.0,1.0
t_10_n_mean_r2,0.0,0.0,1.0
t_03_n_mean_r2,0.0,0.0,1.0
t_11_n_mean_r3,0.0,0.0,1.0
t_11_n_mean_r4,0.0,0.0,1.0
t_12_n_mean_r2,0.0,0.0,1.0
t_12_n_mean_r3,0.0,0.0,1.0
t_12_n_mean_r4,0.0,0.0,1.0
t_13_n_mean_r2,0.0,0.0,1.0
t_13_n_mean_r3,0.0,0.0,1.0
t_13_n_mean_r4,0.0,0.0,1.0
t_14_n_mean_r3,0.0,0.0,1.0
t_14_n_mean_r4,0.0,0.0,1.0
t_15_n_mean_r2,0.0,0.0,1.0
t_15_n_mean_r3,0.0,0.0,1.0
t_03_n_mean_r3,0.0,0.0,1.0
t_03_n_mean_r1,0.0,0.0,1.0
t_16_n_mean_r2,0.0,0.0,1.0
t_15_r4,0.0,0.0,1.0
t_10_r4,0.0,0.0,1.0
t_11_r1,0.0,0.0,1.0
t_11_r3,0.0,0.0,1.0
t_11_r4,0.0,0.0,1.0
t_13_r1,0.0,0.0,1.0
t_13_r3,0.0,0.0,1.0
t_09_r4,0.0,0.0,1.0
t_14_r1,0.0,0.0,1.0
t_14_r4,0.0,0.0,1.0
t_15_r1,0.0,0.0,1.0
t_15_r2,0.0,0.0,1.0
t_15_r3,0.0,0.0,1.0
t_16_r1,0.0,0.0,1.0
t_02_n_mean_r1,0.0,0.0,1.0
t_16_r2,0.0,0.0,1.0
t_16_r3,0.0,0.0,1.0
t_16_r4,0.0,0.0,1.0
t_17_r1,0.0,0.0,1.0
t_17_r2,0.0,0.0,1.0
t_17_r3,0.0,0.0,1.0
t_17_r4,0.0,0.0,1.0
t_09_r2,0.0,0.0,1.0
t_08_r3,0.0,0.0,1.0
t_08_r2,0.0,0.0,1.0
t_08_r1,0.0,0.0,1.0
t_07_r3,0.0,0.0,1.0
t_16_n_mean_r1,0.0,0.0,1.0
t_16_n_mean_r4,0.0,0.0,1.0
ntl_mean_q_r3,0.0,0.0,1.0
t_08_volatilidad,0.0,0.0,1.0
t_03_volatilidad,0.0,0.0,1.0
t_03_zscore_4q,0.0,0.0,1.0
t_04_pos_relativa,0.0,0.0,1.0
t_10_r2,0.0,0.0,1.0
t_05_tendencia,0.0,0.0,1.0
t_05_pos_relativa,0.0,0.0,1.0
t_05_aceleracion,0.0,0.0,1.0
t_05_zscore_4q,0.0,0.0,1.0
t_05_fue_shock_r1,0.0,0.0,1.0
t_07_tendencia,0.0,0.0,1.0
t_07_volatilidad,0.0,0.0,1.0
t_08_tendencia,0.0,0.0,1.0
t_09_tendencia,0.0,0.0,1.0
t_02_fue_shock_r1,0.0,0.0,1.0
t_05_r1,0.0,0.0,1.0
t_04_r4,0.0,0.0,1.0
t_11_volatilidad,0.0,0.0,1.0
t_12_tendencia,0.0,0.0,1.0
t_12_volatilidad,0.0,0.0,1.0
t_14_volatilidad,0.0,0.0,1.0
t_15_volatilidad,0.0,0.0,1.0
t_16_tendencia,0.0,0.0,1.0
t_16_volatilidad,0.0,0.0,1.0
t_17_tendencia,0.0,0.0,1.0
ntl_mean_q_r1,0.0,0.0,1.0
ntl_mean_q_r2,0.0,0.0,1.0
t_03_tendencia,0.0,0.0,1.0
t_02_zscore_4q,0.0,0.0,1.0
t_17_n_mean_r1,0.0,0.0,1.0
iacv2_fue_shock_r1,0.0,0.0,1.0
t_17_n_mean_r3,0.0,0.0,1.0
t_17_n_mean_r4,0.0,0.0,1.0
iacv_tendencia,0.0,0.0,1.0
t_07_r2,0.0,0.0,1.0
t_07_r1,0.0,0.0,1.0
iacv_aceleracion,0.0,0.0,1.0
iacv_fue_shock_r1,0.0,0.0,1.0
iacv2_tendencia,0.0,0.0,1.0
t_05_r4,0.0,0.0,1.0
t_05_r3,0.0,0.0,1.0
iacv2_aceleracion,0.0,0.0,1.0
iacv2_zscore_4q,0.0,0.0,1.0
ia_volatilidad,0.0,0.0,1.0
t_02_aceleracion,0.0,0.0,1.0
ia_zscore_4q,0.0,0.0,1.0
igc_volatilidad,0.0,0.0,1.0
iif_tendencia,0.0,0.0,1.0
iif_pos_relativa,0.0,0.0,1.0
iif_aceleracion,0.0,0.0,1.0
iif_zscore_4q,0.0,0.0,1.0
iif_fue_shock_r1,0.0,0.0,1.0
t_01_tendencia,0.0,0.0,1.0
t_01_aceleracion,0.0,0.0,1.0
t_01_zscore_4q,0.0,0.0,1.0
t_01_fue_shock_r1,0.0,0.0,1.0
t_02_tendencia,0.0,0.0,1.0
t_04_aceleracion,0.0,0.0,1.0
